height,entropybit,IsContract,tx,netstakeweight,modifier,flags,IsSuperBlock,querytime,fees_collected,mint,MoneySupply,claim->mining_id,difficulty,size,location,time,username,,locktime,netstakeweight,txid,contracts,vout->0->value,vout->0->scriptPubKey->addresses,vout->0->scriptPubKey->type,time
20,0,False,['2b646a70199e70892102974582ce811079e55ca2ad3155e5a5c9db2c0273345b'],180700778.1848732,0000000000000793,proof-of-work ,False,1,0,30,340570450.0,ca895b47aacffbdbf906201821af2f9f,0.001198388207633288,392,"Bruges, Belgium",1413153190,unknown user,,0,180700778.1848732,2b646a70199e70892102974582ce811079e55ca2ad3155e5a5c9db2c0273345b,[],30,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413153190

21,0,False,['a11545df78882e09d902d86fbc132f159138ed4e34ea8ebbc8bbf540849c1071'],180700778.1848732,0000000000000793,proof-of-work ,False,1,0,30,340570480.0,ca895b47aacffbdbf906201821af2f9f,0.001328648877118864,392,"Bruges, Belgium",1413153210,unknown user,,0,180700778.1848732,a11545df78882e09d902d86fbc132f159138ed4e34ea8ebbc8bbf540849c1071,[],30,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413153210

22,1,False,['fbb881a48deb04349c969ae600e041d66c8ed81f4f3cb3dcc5b17031c341d1b7'],180700778.1848732,0000000000000793,proof-of-work ,False,1,0,30,340570510.0,ca895b47aacffbdbf906201821af2f9f,0.001441727924612248,392,"Bruges, Belgium",1413153233,unknown user,,0,180700778.1848732,fbb881a48deb04349c969ae600e041d66c8ed81f4f3cb3dcc5b17031c341d1b7,[],30,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413153233

23,1,False,['95be05d9b6a043b666cb5b37bb1718be9586d0ae7f7abfa7160adb86a3b024d8'],180700778.1848732,0000000000000793,proof-of-work ,False,1,0,30,340570540.0,ca895b47aacffbdbf906201821af2f9f,0.001554506277325723,392,"Bruges, Belgium",1413153250,unknown user,,0,180700778.1848732,95be05d9b6a043b666cb5b37bb1718be9586d0ae7f7abfa7160adb86a3b024d8,[],30,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413153250

24,1,False,['c876d4e73b0a1f321ce1fa2dc883f412d61f132408d88a77e992eab39eda9292'],180700778.1848732,0000000000000793,proof-of-work ,False,1,0,30,340570570.0,ca895b47aacffbdbf906201821af2f9f,0.001697643116482642,392,"Bruges, Belgium",1413153274,unknown user,,0,180700778.1848732,c876d4e73b0a1f321ce1fa2dc883f412d61f132408d88a77e992eab39eda9292,[],30,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413153274

